,hidden_layer_sizes,momentum,acc,f1,roc
0,1x50,0.0,0.6346,0.5484931695377688,0.6775520043578439
1,1x50,0.2,0.6444,0.56815761079613,0.6806846967961354
2,1x50,0.5,0.6239999999999999,0.5081138470905749,0.6285144710026815
3,1x50,0.9,0.571,0.005488209588437379,0.5499279784060953
4,2x50,0.0,0.6448,0.5584818799023189,0.6870633997589126
5,2x50,0.2,0.6432,0.5401438766077841,0.6785613786469575
6,2x50,0.5,0.6322,0.5405344990197258,0.6488698683651666
7,2x50,0.9,0.571,0.011778176045636657,0.5018869878239728
8,5x50,0.0,0.642,0.5337372946557215,0.6628172902326599
9,5x50,0.2,0.656,0.5366674775797192,0.6849310742637456
10,5x50,0.5,0.6444000000000001,0.5310004445326771,0.6647055325755542
11,5x50,0.9,0.6746000000000001,0.5162841969611853,0.7069686049689973
12,8x50,0.0,0.6372,0.5299011193379048,0.655320347939328
13,8x50,0.2,0.6574000000000001,0.5383297902058337,0.6834873359605302
14,8x50,0.5,0.6692,0.5209824535547615,0.7024549643779112
15,8x50,0.9,0.6676,0.5255628129313122,0.6826815298236868
16,1x100,0.0,0.6646000000000001,0.5926060133331363,0.7104360404963538
17,1x100,0.2,0.6688000000000001,0.5960868479831805,0.7194773239413627
18,1x100,0.5,0.6247999999999999,0.43240946996022983,0.6391736731427149
19,1x100,0.9,0.5706,0.02272092311808767,0.5506138568719786
20,2x100,0.0,0.6404,0.5555866184343405,0.6824530117318451
21,2x100,0.2,0.6342000000000001,0.5417879320969027,0.6709354191521801
22,2x100,0.5,0.6468,0.5559748194593925,0.6795940669487383
23,2x100,0.9,0.5721999999999999,0.013715864899502295,0.5032767111817724
24,5x100,0.0,0.645,0.5383921307299646,0.6656782027357796
25,5x100,0.2,0.6432,0.5388275294245279,0.6712559091377304
26,5x100,0.5,0.658,0.5405762820892291,0.6875335775921203
27,5x100,0.9,0.6594,0.5049989978964169,0.7382129632090126
28,8x100,0.0,0.656,0.5293011892513911,0.6704745082336112
29,8x100,0.2,0.6516,0.5270531922140063,0.6618743076273396
30,8x100,0.5,0.6674000000000001,0.5406406595125807,0.7033413721363373
31,8x100,0.9,0.6940000000000001,0.5764343526351372,0.7500185105969817
32,1x200,0.0,0.6774,0.6006211799100164,0.7350471153499473
33,1x200,0.2,0.6706,0.6081753300776365,0.7280476803934339
34,1x200,0.5,0.6279999999999999,0.535660107409938,0.6585716468828864
35,1x200,0.9,0.5718,0.0118668523417579,0.5399425990102695
36,2x200,0.0,0.6487999999999999,0.5625580159071382,0.6987534333182636
37,2x200,0.2,0.6458,0.5490519303230831,0.6831500325142221
38,2x200,0.5,0.647,0.5392633818606835,0.6783283917839874
39,2x200,0.9,0.5731999999999999,0.030755757789429388,0.5470358640918838
40,5x200,0.0,0.6504,0.5423821769714919,0.6866919332419265
41,5x200,0.2,0.65,0.5413821411086924,0.687542895308624
42,5x200,0.5,0.646,0.5481153155711476,0.6797586261868236
43,5x200,0.9,0.693,0.5336566353250591,0.7698147324037906
44,8x200,0.0,0.6468,0.47963945192404245,0.6770716253097733
45,8x200,0.2,0.6468,0.5364351628311415,0.6761842718286332
46,8x200,0.5,0.6628000000000001,0.5356147181958295,0.6948226824532818
47,8x200,0.9,0.7066000000000001,0.6115720635910493,0.7573052763219044
0,1x50,0.0,0.7862,0.41380911485343014,0.7264927496906285
1,1x50,0.2,0.7778,0.39893231238411453,0.7602825664423867
2,1x50,0.5,0.7672,0.3568874726064153,0.8157725917131202
3,1x50,0.9,0.7884,0.5081353755872533,0.8527062368767044
4,2x50,0.0,0.7778000000000002,0.39629233999686636,0.6790787838511504
5,2x50,0.2,0.781,0.3984859556719537,0.6957645445274602
6,2x50,0.5,0.7802,0.4167449584000712,0.7951036173378363
7,2x50,0.9,0.8109999999999999,0.6102907112809417,0.8658411507347734
8,5x50,0.0,0.7878000000000001,0.4052230823740454,0.7342046738585122
9,5x50,0.2,0.7856,0.4169696224378246,0.730125849025278
10,5x50,0.5,0.8042,0.5181715216712087,0.8392565926233575
11,5x50,0.9,0.8295999999999999,0.6397985436738338,0.883671565789161
12,8x50,0.0,0.7854,0.41962447024002725,0.6588529877184622
13,8x50,0.2,0.7888000000000001,0.42269849463663023,0.7757709547575633
14,8x50,0.5,0.8064,0.49243765655561783,0.8503610968506807
15,8x50,0.9,0.8260000000000002,0.6040131156527482,0.8636610901162488
16,1x100,0.0,0.7918000000000001,0.41628708722644553,0.7503336008381043
17,1x100,0.2,0.7846,0.39496425377479055,0.767364073649283
18,1x100,0.5,0.7862,0.43244009553015783,0.7982054944938537
19,1x100,0.9,0.7906000000000002,0.4891977787601389,0.8552448426471233
20,2x100,0.0,0.7710000000000001,0.3464745475532866,0.7542292564772094
21,2x100,0.2,0.7762,0.3825796104042209,0.7622531318932539
22,2x100,0.5,0.7847999999999999,0.44833073493533754,0.8120186566041442
23,2x100,0.9,0.8096,0.6129554843705951,0.8628234157445295
24,5x100,0.0,0.7906000000000001,0.38641412123291075,0.7923111912938927
25,5x100,0.2,0.7876000000000001,0.40825298709090374,0.6940036597694393
26,5x100,0.5,0.7964,0.4505325915200354,0.8016482133179081
27,5x100,0.9,0.8301999999999999,0.6277721938610237,0.8824097740436218
28,8x100,0.0,0.7878,0.3989908400026412,0.7404322478310752
29,8x100,0.2,0.7828,0.4728547033692549,0.8487082135439117
30,8x100,0.5,0.8084,0.5072008248614488,0.8488884961260483
31,8x100,0.9,0.8368,0.6341526496866964,0.8919612903290528
32,1x200,0.0,0.7946000000000001,0.4299790059898929,0.7878043363031292
33,1x200,0.2,0.78,0.34277487372077226,0.783815395673505
34,1x200,0.5,0.7966000000000001,0.4965511735480047,0.8393254111088491
35,1x200,0.9,0.7826000000000001,0.47446026158938137,0.8523932586414296
36,2x200,0.0,0.7884,0.42092485053163664,0.7464415070156736
37,2x200,0.2,0.7828,0.41337110590341186,0.7958860750871699
38,2x200,0.5,0.7912,0.45557269150682755,0.8202023873401678
39,2x200,0.9,0.8113999999999999,0.6100283846707171,0.8628191781926067
40,5x200,0.0,0.7896000000000002,0.3766646648537764,0.7211318985850083
41,5x200,0.2,0.7948000000000001,0.4538725121361211,0.7922515372690956
42,5x200,0.5,0.7936,0.49744535349040453,0.8516662215815789
43,5x200,0.9,0.8368,0.6489193150443395,0.8899139929857801
44,8x200,0.0,0.7912,0.43375772787367267,0.7709923688259402
45,8x200,0.2,0.7922,0.42698155292039186,0.7923827501448728
46,8x200,0.5,0.8131999999999999,0.5289862339587914,0.8674583967017965
47,8x200,0.9,0.8398,0.6395302816622748,0.8938349387703839
0,1x50,0.0,0.906,0.9168018014399596,0.9603540127399673
1,1x50,0.2,0.908,0.918221901710296,0.9636864850598041
2,1x50,0.5,0.9172,0.9258526608865442,0.9697182683564101
3,1x50,0.9,0.9268000000000001,0.9344982672674977,0.977267462812043
4,2x50,0.0,0.9020000000000001,0.9123455668594245,0.9555079096932639
5,2x50,0.2,0.9128000000000001,0.9218804938708178,0.9656061126886357
6,2x50,0.5,0.922,0.9299686734622892,0.9715890219982105
7,2x50,0.9,0.9326000000000001,0.9398069263140073,0.9798874704135725
8,5x50,0.0,0.9022,0.91347035563076,0.9563690105541411
9,5x50,0.2,0.9134,0.922311071298027,0.9670212785692819
10,5x50,0.5,0.9218,0.9298537986673656,0.9738486663078462
11,5x50,0.9,0.9396000000000001,0.9457983146962491,0.984895105093227
12,8x50,0.0,0.6762,0.7773298740485062,0.8275796141287
13,8x50,0.2,0.8146000000000001,0.8570660789647778,0.8869490172078592
14,8x50,0.5,0.9056000000000001,0.9162213002310272,0.9591056690097121
15,8x50,0.9,0.9456,0.9510434378830379,0.9882784133462144
16,1x100,0.0,0.9118,0.9216938080315025,0.9632073978315452
17,1x100,0.2,0.9096,0.9193268376916622,0.9651655436695339
18,1x100,0.5,0.917,0.9255567178748574,0.9699708133781655
19,1x100,0.9,0.9301999999999999,0.9375242407060804,0.9780236766598025
20,2x100,0.0,0.9094000000000001,0.9187195127448626,0.9626596391514539
21,2x100,0.2,0.9144,0.923325710704735,0.9640986889957543
22,2x100,0.5,0.9228000000000002,0.9307240774834412,0.9728682072003183
23,2x100,0.9,0.9338,0.9409386824709584,0.9811741905764408
24,5x100,0.0,0.9099999999999999,0.919617232570962,0.9624430544441696
25,5x100,0.2,0.9186000000000002,0.9274831156723584,0.9676342252675327
26,5x100,0.5,0.9254000000000001,0.9331085663746137,0.9769437773115432
27,5x100,0.9,0.9503999999999999,0.9552951714121907,0.9895311183053798
28,8x100,0.0,0.8346,0.8650728500201303,0.9210736271111198
29,8x100,0.2,0.9018,0.9127014852506831,0.9575384252816118
30,8x100,0.5,0.9279999999999999,0.9355356061361135,0.9752678671711694
31,8x100,0.9,0.9604000000000001,0.9644948677304195,0.9916864675328625
32,1x200,0.0,0.9092,0.919373302013739,0.964470980150663
33,1x200,0.2,0.9148000000000002,0.9241415596746163,0.9669454596836016
34,1x200,0.5,0.9206,0.9290496449113649,0.9706758795020605
35,1x200,0.9,0.9296,0.9370293241245697,0.9791589647564247
36,2x200,0.0,0.9172,0.9260626491099598,0.9672105739495047
37,2x200,0.2,0.9179999999999999,0.9264884803795317,0.9684930591257179
38,2x200,0.5,0.921,0.9292164551364737,0.9735298646055721
39,2x200,0.9,0.9348000000000001,0.9417451968689983,0.982202111567467
40,5x200,0.0,0.9156000000000001,0.9243732164054039,0.9664878948473945
41,5x200,0.2,0.9246000000000001,0.9323510646225245,0.9720297324342662
42,5x200,0.5,0.9264000000000001,0.9339366547069957,0.9781320026841479
43,5x200,0.9,0.9533999999999999,0.9580455791948752,0.9909197470395948
44,8x200,0.0,0.9109999999999999,0.9209964700339374,0.9578290013203293
45,8x200,0.2,0.9176,0.9258864938366947,0.9677291672395917
46,8x200,0.5,0.9336,0.9405623227028457,0.9780599669242835
47,8x200,0.9,0.9593999999999999,0.9634441086438119,0.9929210945213992
0,1x50,0.0,0.7802,0.3513384352550068,0.778125795112415
1,1x50,0.2,0.7772,0.35631034961493435,0.7676914152272158
2,1x50,0.5,0.7832000000000001,0.3575964165001525,0.7806712335520658
3,1x50,0.9,0.7901999999999999,0.4037029575229748,0.7900915839894731
4,2x50,0.0,0.781,0.3412128472656159,0.7764359214136806
5,2x50,0.2,0.7802,0.34695072771809454,0.7783278164909808
6,2x50,0.5,0.7827999999999999,0.36103871692584033,0.7820074871720473
7,2x50,0.9,0.7816000000000001,0.38588851978176775,0.7928112262453493
8,5x50,0.0,0.7724,0.3683641652748291,0.7843206886079402
9,5x50,0.2,0.7718,0.2897028685352424,0.7731426112852195
10,5x50,0.5,0.7782,0.31663278148483004,0.7837496319908273
11,5x50,0.9,0.7892,0.42516149150922605,0.8004343839924906
12,8x50,0.0,0.7702000000000001,0.3151195566749267,0.7627831096490325
13,8x50,0.2,0.7604,0.24303687600163562,0.7670428640761655
14,8x50,0.5,0.7768,0.3672599235146025,0.7839934378785027
15,8x50,0.9,0.7898,0.4560545392756632,0.8017476883545118
16,1x100,0.0,0.7782,0.3379541358888128,0.7798301142671062
17,1x100,0.2,0.7744,0.32737842846761495,0.7771654269725982
18,1x100,0.5,0.7782,0.3362896542712779,0.7775383539700257
19,1x100,0.9,0.7854,0.39410897224677416,0.7927139796201661
20,2x100,0.0,0.776,0.32867880883979955,0.7803098276730862
21,2x100,0.2,0.7770000000000001,0.3350910611945407,0.7799143460089946
22,2x100,0.5,0.7817999999999999,0.3642625301895631,0.7882328202210023
23,2x100,0.9,0.7864,0.40661245179148303,0.7984627871050078
24,5x100,0.0,0.7772,0.32611742888037026,0.7815347660252243
25,5x100,0.2,0.7792,0.34357846162284805,0.7848677687715
26,5x100,0.5,0.7808,0.36665956147466555,0.7881980692962959
27,5x100,0.9,0.7906000000000001,0.43104283016655665,0.8071053463410628
28,8x100,0.0,0.7768,0.3247060403246562,0.776832159789709
29,8x100,0.2,0.7710000000000001,0.3143853329955643,0.7798794666181713
30,8x100,0.5,0.7802,0.3764188412632878,0.7912919397156312
31,8x100,0.9,0.789,0.43542801658307173,0.8025603645152156
32,1x200,0.0,0.7784,0.3335999583038479,0.7811794387194668
33,1x200,0.2,0.7784,0.3287239111897079,0.7759590694856445
34,1x200,0.5,0.7788,0.34251667649797907,0.7834361499719976
35,1x200,0.9,0.7854000000000001,0.39002992299295985,0.7937231129897548
36,2x200,0.0,0.7747999999999999,0.3259925965701613,0.7812801901625093
37,2x200,0.2,0.7772,0.3275237595348705,0.7836051465720937
38,2x200,0.5,0.7806,0.34103160404903987,0.7858659839090048
39,2x200,0.9,0.7872,0.4023072773533494,0.8022925256227446
40,5x200,0.0,0.7774,0.3311743658653318,0.7823635549544136
