C,acc,f1,roc
1e-08,0.6664000000000001,0.5166264651954998,0.6511276047120514
1e-07,0.6682,0.5252695891471556,0.6543785396408669
1e-06,0.6729999999999999,0.5348652316694218,0.6678256440865888
1e-05,0.6806,0.5487420345797914,0.7052764016219457
0.0001,0.7458000000000001,0.6526197203691314,0.8215938026393987
0.001,0.8196,0.7949177262371212,0.8755117090424929
0.01,0.8277999999999999,0.8036862722984749,0.8888831780148608
0.1,0.8251999999999999,0.8008816983960736,0.8889279475807703
1.0,0.8221999999999999,0.7959365908162581,0.8850413238177872
10.0,0.8276,0.8041962810635761,0.888548920391465
100.0,0.8262,0.8016872507425432,0.8886710104621228
1000.0,0.8309999999999998,0.807938013650495,0.8907544385019431
10000.0,0.8288,0.8048384372812609,0.8902414958831766
1e-08,0.7926,0.35130626874156234,0.6116834634359178
1e-07,0.7936000000000002,0.38354499345573745,0.6172363109178098
1e-06,0.7934000000000001,0.38770247457236656,0.604390391167746
1e-05,0.7944,0.3904305306558123,0.5731040035768465
0.0001,0.7954000000000001,0.39158311368330473,0.5734699823233796
0.001,0.7950000000000002,0.39037226057795527,0.5610070268689389
0.01,0.7984000000000001,0.4080195100836118,0.6157613902435001
0.1,0.7948000000000001,0.3886971657612675,0.564806399320606
1.0,0.799,0.42258719659374433,0.6163690429210925
10.0,0.7948000000000001,0.3886971657612675,0.5648182928197274
100.0,0.7948000000000001,0.3886971657612675,0.5648053180934131
1000.0,0.7948000000000001,0.3886971657612675,0.5648139679109561
10000.0,0.7948000000000001,0.3886971657612675,0.5648139679109561
1e-08,0.5697999999999999,0.7259522678650446,0.9569858214516984
1e-07,0.5697999999999999,0.7259522678650446,0.956946660240043
1e-06,0.5697999999999999,0.7259522678650446,0.9570364037969611
1e-05,0.5697999999999999,0.7259522678650446,0.9573652241911861
0.0001,0.7125999999999999,0.797978272923613,0.9601736503343812
0.001,0.9118,0.9250635499834147,0.9690876834162138
0.01,0.923,0.9336660469635358,0.9763708003850379
0.1,0.9306000000000001,0.9397971503121891,0.9797376306132453
1.0,0.9316000000000001,0.9406282096195213,0.9801645080491834
10.0,0.9318,0.9408152933254179,0.9801294411423951
100.0,0.9318,0.9408152933254179,0.9801343412657296
1000.0,0.9318,0.9408152933254179,0.980135158184202
10000.0,0.9318,0.9408152933254179,0.9801335266597583
1e-08,0.7521999999999999,0.0,0.5871377918753454
1e-07,0.7521999999999999,0.0,0.587724722839603
1e-06,0.7521999999999999,0.0,0.5944714960361548
1e-05,0.7521999999999999,0.0,0.6317979443159324
0.0001,0.7528,0.0048192771084337345,0.6977177806164981
0.001,0.7738,0.23086536150836875,0.7496126887875848
0.01,0.7846,0.3392962934898223,0.7640718881617368
0.1,0.7904,0.39145475899684196,0.782199091064572
1.0,0.7942,0.4401596944974958,0.7890572526964916
10.0,0.7934,0.44284726916986167,0.7904909486080696
100.0,0.7918000000000001,0.4367250844454443,0.7911587342025395
1000.0,0.7906000000000001,0.44124571128291323,0.7893178210212455
10000.0,0.7948000000000001,0.45163235233425436,0.7877389256648742
