,max_depth,max_features,acc,f1,roc
0,2.0,1,0.8166,0.7446725511823471,0.9291558763393404
1,2.0,2,0.8581999999999999,0.8178093128936176,0.9379400506825272
2,2.0,4,0.8726,0.8425478928055249,0.94332405371651
3,2.0,6,0.868,0.8394781841710364,0.9428969374769725
4,2.0,8,0.8586,0.8298414387214132,0.9423890492935969
5,2.0,12,0.851,0.8207530054125423,0.9397190062960028
6,2.0,16,0.8468,0.8140887165522603,0.9384972127240199
7,2.0,20,0.8497999999999999,0.8184250707760438,0.9328306707968727
8,4.0,1,0.8764,0.8429610198090891,0.9510324571352008
9,4.0,2,0.8958,0.8726669101859681,0.9597454954187187
10,4.0,4,0.9086000000000001,0.8903925335800356,0.9671607388877211
11,4.0,6,0.9141999999999999,0.8988487083819241,0.9691344254086722
12,4.0,8,0.9094,0.8932947129414609,0.9706212422161062
13,4.0,12,0.9019999999999999,0.8852081262548067,0.9712095114401038
14,4.0,16,0.8976000000000001,0.8808434175279736,0.9692858009004599
15,4.0,20,0.8964000000000001,0.8794891563152317,0.9670275739812488
16,6.0,1,0.8958,0.871773165678438,0.9619733616885199
17,6.0,2,0.914,0.8971187875121162,0.9711383157168804
18,6.0,4,0.9272,0.9145026994960969,0.9778567018431508
19,6.0,6,0.9332,0.9221727445281477,0.9801541828458843
20,6.0,8,0.933,0.922093245944376,0.9808396150143531
21,6.0,12,0.9366,0.9259348047290363,0.9811696860428626
22,6.0,16,0.933,0.9214383359722367,0.9805957534957972
23,6.0,20,0.9292,0.916300062569691,0.9790809224586511
24,8.0,1,0.9106,0.8912866424294756,0.971328799358026
25,8.0,2,0.9214,0.9064165708581363,0.9780157003306919
26,8.0,4,0.9354000000000001,0.9241987720787481,0.9828932322218668
27,8.0,6,0.9372,0.9265805061370257,0.9844592857587513
28,8.0,8,0.9388000000000002,0.9285168849453942,0.9847275385318814
29,8.0,12,0.9401999999999999,0.9302432964798946,0.9851611578611742
30,8.0,16,0.9401999999999999,0.9300248498920599,0.9849454542447875
31,8.0,20,0.9376000000000001,0.9268775780288152,0.9842678841517085
32,16.0,1,0.9244,0.9095184561280932,0.9788838246415013
33,16.0,2,0.9339999999999999,0.9218793930422153,0.983929416927469
34,16.0,4,0.9408,0.9305359987513823,0.9860408462227536
35,16.0,6,0.9432,0.933572039627915,0.9874633087089961
36,16.0,8,0.9437999999999999,0.9343118596490813,0.9873060032086608
37,16.0,12,0.9433999999999999,0.9337533983159737,0.9871226255328649
38,16.0,16,0.9402000000000001,0.9301689232966799,0.9867728563168431
39,16.0,20,0.9416,0.9315248541542787,0.985699908287916
40,20.0,1,0.9246000000000001,0.9096569611939683,0.9797566231081051
41,20.0,2,0.9324000000000001,0.9201664552892325,0.9837899834425942
42,20.0,4,0.9404,0.9300889829460376,0.9863147630900713
43,20.0,6,0.9427999999999999,0.9327940991214867,0.9870561838912998
